Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,Total Number of Votes,ABSENTEE VOTERS,BAKERHILL VOLUNTEER FIRE,BAKERS STORE,BEVILL CENTER,BLUE SPRINGS CITY HALL,CLAYTON COURTHOUSE,CLIO CITY HALL,COGGINS STORE VOTING HOUSE,COWIKEE VOLUNTEER FIRE,ELAMVILLE VOLUNTEER FIRE,EUFAULA WATER BOARD,FELLOWSHIP BAPTIST CHURCH,GREENS CROSSROADS,JOHNNY BOYDS STORE,JUNIOR TURNER STORE,LOUISVILLE CITY HALL,MCCOO SCHOOL,MT_ ANDREW RECREATION CENTER,NEW ARMORY,RICHARDS CABINET SHOP,SANFORD GYM,SPRINGHILL VOLUNTEER FIRE,SUTTONS RESTAURANT,WHITE OAK METHODIST CHURCH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,
03,BARBOUR,STATE TREASURER,REP,"Ivey, Kay",3577,175,117,41,313,136,273,201,40,22,50,252,324,58,47,25,170,253,14,412,42,446,50,37,79
03,BARBOUR,STATE TREASURER,WI,WRITE-IN,8,2,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
03,BARBOUR,STATE AUDITOR,DEM,"Gibson, Carolyn",4030,220,159,24,142,79,513,260,21,41,24,374,208,48,50,36,233,440,110,345,36,350,169,56,92
03,BARBOUR,STATE AUDITOR,LIB,"Reeves, Franklin",237,24,8,3,14,7,17,13,0,1,4,14,11,5,18,1,21,12,6,21,5,16,7,4,5
03,BARBOUR,STATE AUDITOR,REP,"Chapman, Beth",3122,152,102,34,285,110,212,143,33,23,49,225,300,47,41,13,125,233,11,384,40,397,52,30,81
03,BARBOUR,STATE AUDITOR,WI,WRITE-IN,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
03,BARBOUR,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",4470,257,180,33,168,101,551,302,42,48,36,378,247,72,59,42,274,459,114,376,33,347,179,62,110
03,BARBOUR,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",167,2,10,0,12,5,13,12,0,2,3,9,11,2,10,2,11,17,2,24,4,9,3,1,3
03,BARBOUR,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",2865,150,78,29,262,96,200,118,17,13,40,230,258,34,40,11,109,209,12,352,40,423,50,29,65
03,BARBOUR,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,6,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",4960,268,186,43,191,132,569,347,35,49,35,426,296,70,70,46,301,499,118,427,48,431,190,74,109
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",192,8,14,0,19,6,19,5,0,1,3,12,12,2,9,0,20,12,2,18,4,13,5,0,8
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",2435,135,76,24,236,72,186,90,23,15,42,184,221,31,29,11,84,183,7,317,29,325,35,19,61
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",3401,183,132,11,106,40,412,204,13,42,17,347,158,33,40,31,179,404,108,307,28,298,174,50,84
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",136,3,4,0,14,2,20,2,0,1,3,8,5,1,6,0,12,12,2,20,3,12,2,1,3
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",4180,232,147,61,335,175,366,254,50,25,63,266,369,76,67,27,216,282,18,438,50,472,59,41,91
03,BARBOUR,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
03,BARBOUR,"US HOUSE, DISTRICT 2",DEM,"Woods, Charles",3553,178,137,18,116,63,419,235,24,42,18,342,178,46,44,30,198,409,106,313,30,294,175,53,85
03,BARBOUR,"US HOUSE, DISTRICT 2",LIB,"Shackelford, Floyd",141,6,4,0,14,4,13,4,2,2,3,5,8,5,7,0,14,6,3,19,3,11,3,0,5
03,BARBOUR,"US HOUSE, DISTRICT 2",REP,"Everett, Terry",4134,253,140,53,334,156,357,237,37,28,64,276,354,63,63,27,203,289,19,451,51,491,57,40,91
03,BARBOUR,"US HOUSE, DISTRICT 2",WI,WRITE-IN,12,0,1,0,2,0,2,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,0,0
03,BARBOUR,"STATE BOE, DISTRICT 2",DEM,"Williams, Charlotte Kirkland",4760,261,186,42,186,105,555,294,26,45,32,430,272,60,61,34,262,508,116,436,45,456,179,66,103
03,BARBOUR,"STATE BOE, DISTRICT 2",REP,"Peters, Betty",2579,140,82,24,255,87,183,113,26,19,49,188,244,35,45,17,105,174,6,305,30,307,48,26,71
03,BARBOUR,"STATE BOE, DISTRICT 2",WI,WRITE-IN,10,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0
03,BARBOUR,"STATE SENATE, DISTRICT 28",DEM,"Penn, Myron C.",5544,315,195,31,276,111,607,305,29,57,38,503,363,64,62,34,261,583,120,561,67,555,206,70,131
03,BARBOUR,"STATE SENATE, DISTRICT 28",LIB,"Bowden, Daniel V.",1578,77,74,33,104,76,188,125,27,6,26,60,111,43,54,22,160,68,6,120,12,122,24,17,23
03,BARBOUR,"STATE SENATE, DISTRICT 28",WI,WRITE-IN,14,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,1,0,2,0,4,0,0,0
03,BARBOUR,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 84",DEM,"Beasley, Billy",6277,343,217,51,307,156,701,412,54,56,50,521,405,94,91,49,378,608,120,571,62,600,210,81,140
03,BARBOUR,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 84",WI,WRITE-IN,66,1,5,0,7,3,1,5,0,0,0,7,4,2,1,0,3,4,0,11,0,10,1,0,1
03,BARBOUR,STATEWIDE AMENDMENT #1,,YES,4918,285,173,43,313,132,495,246,53,28,46,373,346,54,62,25,261,419,111,525,66,529,185,50,98
03,BARBOUR,STATEWIDE AMENDMENT #1,,NO,1208,50,61,19,74,41,122,106,4,10,25,82,89,22,27,10,86,94,3,101,9,91,16,33,33
03,BARBOUR,STATEWIDE AMENDMENT #2,,YES,3135,199,114,17,167,60,329,165,12,13,31,250,222,28,42,13,182,276,97,325,33,311,152,48,49
03,BARBOUR,STATEWIDE AMENDMENT #2,,NO,2630,119,112,42,185,106,251,158,41,18,35,191,197,37,40,18,134,205,15,274,35,280,31,27,79
03,BARBOUR,STATEWIDE AMENDMENT #3,,YES,4229,204,162,39,256,132,486,212,43,19,50,304,291,44,56,29,260,316,106,444,38,422,166,72,78
03,BARBOUR,STATEWIDE AMENDMENT #3,,NO,1649,106,70,19,108,45,115,115,12,16,17,141,134,26,27,8,80,171,8,153,31,162,23,12,50
