Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,Reported Number of Votes,Calculated Number of Votes,Absentee,Armory-1,Armory-2,Beatrice,Bermuda,Bethel Bapt. Ch.,Buena Vista/Vredenburgh,Burnt Corn,Bursonville,Coleman School House,Eliska,Excel,Fountain & Ridge,Franklin Fire Station,Frisco City,Goodway Fire Station,Grimes,Lower Peachtree,Magargel,McGill,Mexia Fire Station,Midway/McClammy,Monroeville Coliseum,Monroeville Fire Sta.,Oak Grove,Monroeville Dept. of Revenue,Perdue Hill/Manistee,Peterman,Simpkinsville/Old Texas,Tinela/Hybart,Tunnell Springs,Uriah,Wainwright
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",4590,4590,198,445,392,81,45,6,23,16,8,97,63,698,21,114,318,165,20,2,61,81,371,28,198,249,120,140,90,120,28,13,40,277,62
50,MONROE,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0
50,MONROE,"US HOUSE, DISTRICT 1",DEM,"Belk, Judy McClain",3224,3324,103,166,140,296,28,358,117,85,26,13,73,138,93,50,240,28,39,130,13,18,124,3,244,119,35,55,115,178,1,6,108,108,74
50,MONROE,"US HOUSE, DISTRICT 1",LIB,"Coffee, Dick",66,66,2,4,5,0,0,3,1,1,0,0,0,5,1,0,4,2,1,3,0,0,6,1,7,6,1,4,0,2,0,0,2,3,2
50,MONROE,"US HOUSE, DISTRICT 1",REP,"Bonner, Jo",4710,4706,213,477,403,86,43,15,23,15,9,106,60,702,24,112,320,167,26,2,59,86,379,26,203,260,118,149,87,122,31,12,34,283,54
50,MONROE,"US HOUSE, DISTRICT 1",WI,WRITE-IN,8,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,MONROE,"STATE SENATE, DISTRICT 22",DEM,"Lindsey, Pat",442,442,17,0,0,0,0,0,0,0,0,0,90,0,0,0,0,81,0,0,28,30,0,0,0,0,0,0,0,0,0,0,0,196,0
50,MONROE,"STATE SENATE, DISTRICT 22",REP,"Day, Sheldon A.",478,478,16,0,0,0,0,0,0,0,0,0,43,0,0,0,0,114,0,0,44,68,0,0,0,0,0,0,0,0,0,0,0,193,0
50,MONROE,"STATE SENATE, DISTRICT 22",WI,WRITE-IN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,MONROE,"STATE SENATE, DISTRICT 23",DEM,"Sanders, Hank",3995,3995,140,280,230,305,40,375,120,85,27,44,0,292,99,59,306,0,46,129,0,0,218,6,301,191,70,87,132,201,3,8,120,0,81
50,MONROE,"STATE SENATE, DISTRICT 23",REP,"Motes, Richard",1742,1752,92,221,186,38,15,3,9,11,5,30,0,292,13,53,134,0,9,6,0,0,152,15,89,121,39,68,44,48,11,6,16,0,26
50,MONROE,"STATE SENATE, DISTRICT 23",WI,WRITE-IN,20,20,2,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0,1,1,1,2,0,0,0,0,1,0,0
50,MONROE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 64",DEM,"Warren, J.E.",2336,2336,109,301,234,0,0,0,0,0,0,35,86,330,0,0,329,97,49,0,33,53,206,0,108,0,72,42,26,0,0,0,0,226,0
50,MONROE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 64",REP,"Albritton, Greg",2518,2518,86,346,308,0,0,0,0,0,0,88,47,511,0,0,233,101,14,0,44,49,278,0,84,0,82,65,11,0,0,0,0,171,0
50,MONROE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 64",WI,WRITE-IN,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,MONROE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",DEM,"Jackson, Thomas E.",2407,2407,81,0,0,312,50,370,118,83,27,0,0,0,103,72,0,0,0,132,0,0,9,6,200,232,0,52,123,218,6,9,124,0,80
50,MONROE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",WI,WRITE-IN,16,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,0,1,1,4,0,0,0,0,1
50,MONROE,STATEWIDE AMENDMENT #1,,YES,5394,5394,220,463,378,282,48,316,79,75,17,71,86,559,85,87,362,112,37,107,44,51,305,10,318,265,92,139,131,202,10,11,104,251,77
50,MONROE,STATEWIDE AMENDMENT #1,,NO,1282,1282,42,102,86,40,12,13,5,2,0,34,24,152,7,32,77,59,8,4,17,25,111,12,63,85,30,32,41,43,18,3,8,72,23
50,MONROE,STATEWIDE AMENDMENT #2,,YES,3629,3629,133,278,205,239,33,306,75,59,10,34,54,315,73,54,236,57,27,102,19,27,180,4,229,178,60,78,84,179,1,4,92,145,59
50,MONROE,STATEWIDE AMENDMENT #2,,NO,2637,2637,111,248,236,72,27,16,7,7,9,51,55,329,18,50,189,101,17,7,33,45,207,18,129,147,53,85,81,60,21,8,17,148,35
50,MONROE,STATEWIDE AMENDMENT #3,,YES,4483,4483,180,404,272,248,48,297,73,69,18,46,71,413,79,74,292,96,31,104,37,38,227,13,275,222,68,113,106,181,6,12,93,211,66
50,MONROE,STATEWIDE AMENDMENT #3,,NO,1789,1789,62,131,155,57,12,19,8,4,2,42,31,240,12,38,117,65,11,3,21,37,166,11,83,91,48,47,60,61,17,2,17,96,23
