Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,Total Number of Votes,ABSENTEE VOTERS,ALLGOOD,BLOUNT SPRINGS,BLOUNTSVILLE,BROOKSVILLE,CLEVELAND,DALLAS - SELFVILLE,HAYDEN,HOLLY SPRINGS,LOCUST FORK,MT_ HIGH,MURPHREE VALLEY,NECTAR,ONEONTA . 1,ONEONTA . 2,PINE MOUNTAIN,REMLAP,ROCK SPRINGS,ROSA,ROYAL,SMOKE RISE,SNEAD,ST_ MOUNTAIN,SUGAR CREEK - BANGOR,SUMMIT,SUSAN MOORE
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 ,BLOUNT,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,15875,271,340,189,1147,310,778,785,1284,207,828,888,469,644,846,954,293,648,369,486,286,804,802,1084,343,260,560
05,BLOUNT,GOVERNOR,DEM,"Siegelman, Don",6393,98,125,54,506,145,401,316,498,75,354,318,180,296,375,443,88,223,154,217,115,256,303,366,146,135,206
05,BLOUNT,GOVERNOR,LIB,"Sophocleus, John P.",369,2,9,11,23,6,19,23,25,3,16,28,9,13,16,21,9,18,12,13,9,19,16,24,10,5,10
05,BLOUNT,GOVERNOR,REP,"Riley, Bob",8866,168,200,124,599,154,340,433,746,121,446,531,274,321,436,481,193,401,195,245,155,523,468,684,179,111,338
05,BLOUNT,GOVERNOR,WI,WRITE-IN,49,2,1,0,2,0,1,4,4,2,3,4,2,5,3,2,2,4,1,2,0,1,3,1,0,0,0
05,BLOUNT,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",6074,99,118,54,531,123,388,295,447,61,323,273,172,283,375,442,80,193,149,216,108,244,314,325,123,143,195
05,BLOUNT,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",329,4,8,5,22,11,12,18,26,6,21,25,11,10,15,9,5,17,4,8,9,22,10,19,15,9,8
05,BLOUNT,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",9094,158,211,128,562,159,359,459,793,131,465,582,273,332,433,480,205,428,203,249,162,532,447,712,194,104,333
05,BLOUNT,LIEUTENANT GOVERNOR,WI,WRITE-IN,37,0,0,1,0,0,1,1,4,1,1,3,4,2,2,2,1,3,0,2,0,0,3,5,0,0,1
05,BLOUNT,UNITED STATES SENATOR,DEM,"Parker, Susan",4027,64,58,42,372,81,271,215,322,29,212,201,108,183,254,277,60,124,101,140,82,146,194,189,81,103,118
05,BLOUNT,UNITED STATES SENATOR,LIB,"Allen, Jeff",281,8,7,3,15,8,11,19,18,6,19,18,11,9,17,10,7,10,5,3,5,15,14,16,9,3,15
