Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",210,9,19,14,25,12,6,22,7,16,4,4,12,14,3,2,14,10,3,0,3,6,1,4
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",5335,138,436,505,601,292,130,533,211,307,140,151,200,323,153,70,291,283,85,19,119,198,69,81
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,13,0,1,1,2,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0
67,WINSTON,"US HOUSE, CONGRESSIONAL DISTRICT 4",LIB,"McLendon, Tony Hughes",596,33,25,48,76,30,9,90,26,28,9,14,26,26,11,7,18,28,7,9,11,37,17,11
67,WINSTON,"US HOUSE, CONGRESSIONAL DISTRICT 4",REP,"Aderholt, Robert",6523,164,560,580,689,361,194,655,257,384,175,191,245,399,172,92,359,363,98,20,153,230,87,95
67,WINSTON,"US HOUSE, CONGRESSIONAL DISTRICT 4",WI,WRITE-IN,22,1,0,2,5,0,0,4,1,0,0,2,1,2,0,0,1,1,0,0,0,0,1,1
67,WINSTON,"STATE SENATE, DISTRICT 4",DEM,"Little, Zeb",2194,60,0,406,216,234,0,510,210,0,0,141,187,0,56,0,0,0,76,0,0,0,0,98
67,WINSTON,"STATE SENATE, DISTRICT 4",LIB,"Graves, Greg",74,3,0,8,6,12,0,17,3,0,0,9,6,0,3,0,0,0,1,0,0,0,0,6
67,WINSTON,"STATE SENATE, DISTRICT 4",REP,"Hunt, Guy",1555,55,0,322,158,171,0,289,106,0,0,93,134,0,130,0,0,0,53,0,0,0,0,44
67,WINSTON,"STATE SENATE, DISTRICT 4",WI,WRITE-IN,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,WINSTON,"STATE SENATE, DISTRICT 5",DEM,"Dutton, John Randall",426,9,0,0,152,0,0,0,0,0,0,0,0,145,0,0,0,0,0,15,0,105,0,0
67,WINSTON,"STATE SENATE, DISTRICT 5",REP,"Lee, Curt",904,19,0,0,341,0,0,0,0,0,0,0,0,326,0,0,0,0,0,21,0,197,0,0
67,WINSTON,"STATE SENATE, DISTRICT 5",WI,WRITE-IN,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
67,WINSTON,"STATE SENATE, DISTRICT 6",DEM,"Bedford, Roger",1263,38,241,0,0,0,127,0,0,200,101,0,0,0,0,42,165,177,0,0,92,0,80,0
67,WINSTON,"STATE SENATE, DISTRICT 6",REP,"Frazier, Betty",1565,33,380,0,0,0,92,0,0,266,115,0,0,0,0,61,254,239,0,0,82,0,43,0
67,WINSTON,"STATE SENATE, DISTRICT 6",WI,WRITE-IN,7,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 7",DEM,"Letson, John (Jody)",784,16,0,254,39,137,0,0,0,0,0,69,119,0,32,0,0,0,35,0,0,0,0,83
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 7",IND,"Campbell, Ray",1276,39,0,408,59,223,0,0,0,0,0,114,166,0,141,0,0,0,76,0,0,0,0,50
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 7",REP,"Riddle, Yolanda (Yoyo)",201,8,0,46,19,29,0,0,0,0,0,29,32,0,16,0,0,0,9,0,0,0,0,13
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 7",WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 14",DEM,"Guin, Ken",778,19,0,0,337,0,0,0,0,0,0,0,0,235,0,0,0,0,0,25,0,162,0,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 14",REP,"Frazier, Ed",801,18,0,0,395,0,0,0,0,0,0,0,0,234,0,0,0,0,0,11,0,143,0,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 14",WI,WRITE-IN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 17",DEM,"Millican, Mike",1928,63,238,0,0,0,126,486,176,198,104,0,0,0,0,41,183,164,0,0,77,0,72,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 17",REP,"Westbrooks, Mike",2062,51,381,0,0,0,94,324,142,272,113,0,0,0,0,62,234,245,0,0,92,0,52,0
67,WINSTON,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 17",WI,WRITE-IN,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0
67,WINSTON,STATEWIDE AMENDMENT #1,,YES,4503,140,381,430,522,234,87,500,183,254,109,149,166,246,119,51,196,226,62,14,86,190,64,94
67,WINSTON,STATEWIDE AMENDMENT #1,,NO,1726,30,104,121,160,99,70,196,70,115,65,37,68,125,46,21,118,95,31,6,36,64,23,26
67,WINSTON,STATEWIDE AMENDMENT #2,,YES,2287,69,203,206,250,93,43,246,94,161,70,80,74,143,28,25,98,136,36,8,52,88,40,44
67,WINSTON,STATEWIDE AMENDMENT #2,,NO,3503,89,249,305,388,211,101,407,140,183,95,89,139,201,126,41,199,171,48,15,57,151,37,61
67,WINSTON,STATEWIDE AMENDMENT #3,,YES,3498,103,280,336,414,174,77,373,133,218,79,127,128,176,70,36,157,189,53,12,71,155,58,79
67,WINSTON,STATEWIDE AMENDMENT #3,,NO,2356,52,174,178,223,139,77,294,97,136,86,48,90,162,88,29,142,114,33,9,41,87,24,33
