Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,Total Number of Votes,ABSENTEE VOTERS,AIMWELL VOTING BOOTH,DAYTON TOWN OFFICE,DEMOPOLIS CIVIC CENTER,DEMOPOLIS HIGH SCHOOL,DEMOPOLIS NATL GUARD ARMORY,DEMOPOLIS WESTSIDE ELEMENTARY,DIXONS MILLS VOLUNTEER FIRE,FAUNSDALE TOWN OFFICE,FLATWOOD VOTING BOOTH,GALLION COMMUNITY CENTER,HILLS HALF ACRE,HOBOKEN VOTING BOOTH,JEFFERSON VOLUNTEER FIRE,LASCA - HARRISON STORE,MAGNOLIA COMMUNITY CENTER,MICKINLEY VOTING BOOTH,MYRTLEWOOD COMMUNITY CENTER,NANAFALIA SCHOOL,OCTAGON VOTING BOOTH,OLD COURTHOUSE BUILDING,OLD LINDEN ARMORY,PUTMAN VOTING BOOTH,QUINNEY STORE BUILDING,RANGE LINE VOTING BOOTH,SARDIS VOTING BOOTH,SPRINGHILL VOLUNTEER FIRE,SURGINER VOTING BOOTH,SWEET WATER TOWN OFFICE,THOMASTON LUNCH ROOM,VINELAND VOTING BOOTH,WAYNE VOTING BOOTH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MARENGO,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,7944,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,14,2,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
48,MARENGO,"US HOUSE, CONGRESSIONAL DISTRICT 7",DEM,"Davis, Artur",5898,253,35,43,554,169,511,782,347,173,80,56,68,81,173,9,121,70,125,136,106,190,576,94,255,82,5,74,56,270,282,93,29
48,MARENGO,"US HOUSE, CONGRESSIONAL DISTRICT 7",LIB,"McCay, Lauren Orth",536,7,10,5,22,34,17,98,20,10,1,12,5,12,12,1,8,3,7,14,9,26,65,6,26,15,5,5,8,28,30,12,3
48,MARENGO,"US HOUSE, CONGRESSIONAL DISTRICT 7",WI,WRITE-IN,14,0,1,0,1,0,0,2,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0
48,MARENGO,"STATE SENATE, DISTRICT 23",DEM,"Sanders, Hank",1322,33,0,38,0,0,0,0,10,153,79,33,0,0,0,0,114,68,0,0,96,10,135,0,208,0,2,0,49,0,212,72,10
48,MARENGO,"STATE SENATE, DISTRICT 23",LIB,"Motes, Richard",453,7,0,7,0,0,0,0,2,34,2,35,0,0,0,0,18,6,0,0,19,1,69,0,76,0,16,0,11,0,110,37,3
48,MARENGO,"STATE SENATE, DISTRICT 23",WI,WRITE-IN,6,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
48,MARENGO,"STATE SENATE, DISTRICT 24",DEM,"Steele, Charles, Jr.",3901,200,31,0,516,141,502,582,341,0,0,0,59,81,169,5,0,0,114,130,0,140,376,93,0,79,0,64,2,266,0,0,10
48,MARENGO,"STATE SENATE, DISTRICT 24",WI,WRITE-IN,42,0,1,0,1,7,2,19,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,4,0,1,0,0,0,0,0
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",DEM,"Jackson, Thomas E.",831,16,32,0,0,0,0,0,7,0,0,0,59,76,0,6,0,0,114,131,0,23,0,97,0,0,0,0,0,259,0,0,11
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 68",WI,WRITE-IN,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 71",DEM,"Black, Lucius",2689,162,0,3,501,140,494,527,0,19,0,47,0,0,167,0,0,0,0,0,0,113,161,0,225,71,0,59,0,0,0,0,0
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 71",WI,WRITE-IN,39,0,0,0,2,3,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,5,0,0,0,0,0,0,0
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 72",DEM,"Singleton, Bobby",1735,57,0,38,0,0,0,0,338,150,81,0,0,0,0,0,112,71,0,0,101,6,361,0,0,0,11,0,53,9,252,85,10
48,MARENGO,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 72",WI,WRITE-IN,10,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0
48,MARENGO,STATEWIDE AMENDMENT #1,,YES,4892,200,41,33,471,186,443,848,173,82,78,59,70,73,117,11,77,52,66,121,55,180,460,55,201,85,14,67,64,214,172,90,34
48,MARENGO,STATEWIDE AMENDMENT #1,,NO,894,25,8,6,44,51,40,164,45,16,1,22,12,23,20,1,8,3,22,27,8,50,108,4,42,23,5,10,16,37,32,15,6
48,MARENGO,STATEWIDE AMENDMENT #2,,YES,3214,145,22,25,372,95,379,429,136,51,75,34,24,37,85,9,58,46,42,82,39,100,292,49,150,49,3,51,32,133,106,42,22
48,MARENGO,STATEWIDE AMENDMENT #2,,NO,2169,54,24,13,121,123,88,512,71,39,2,42,46,53,39,3,20,7,44,57,18,108,232,7,85,54,17,28,24,99,75,52,12
48,MARENGO,STATEWIDE AMENDMENT #3,,YES,4170,159,30,31,417,168,382,660,179,81,72,53,60,44,96,6,68,44,64,110,43,165,394,54,180,69,12,52,48,160,161,75,33
48,MARENGO,STATEWIDE AMENDMENT #3,,NO,1257,31,16,7,74,54,73,265,42,11,5,28,19,46,26,5,12,9,25,33,14,49,128,6,56,31,5,22,24,73,39,24,5
48,MARENGO,LOCAL AMENDMENT #1,,YES,3924,191,27,29,384,146,397,609,165,55,67,36,48,46,99,8,42,40,54,104,40,140,354,57,181,61,23,64,56,173,137,61,30
48,MARENGO,LOCAL AMENDMENT #1,,NO,1623,33,21,9,100,83,71,378,61,29,2,35,25,49,29,2,18,11,30,37,15,79,177,7,64,41,5,11,26,77,58,34,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*** Note:,County Did Not Report Total Ballots Cast by Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
