Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,ABSENTEE VOTERS,ARDMORE TOWN HALL,ATHENS RECREATION CENTER .1,ATHENS RECREATION CENTER .2,BELMORE BAPTIST CHURCH,BETHEL CHURCH OF CHRIST,BLACKBURN COMMUNITY BUILDING,CLEMENTS FIRE DEPARTMENT,EAST LIMESTONE FIRE DEPT .1,EAST LIMESTONE FIRE DEPT .2,ELKMONT FIRE DEPARTMENT,GOODSPRINGS COMMUNITY CENTER,JOHNSON ELEMENTARY SCHOOL,LEGGTOWN,LESTER POST OFFICE,NATIONAL GUARD ARMORY .1,NATIONAL GUARD ARMORY .2,OAK GROVE FIRE DEPARTMENT,OWENS ELEMENTARY SCHOOL .1,OWENS ELEMENTARY SCHOOL .2,PINEY CHAPEL,PLEASANT GROVE FIRE DEPARTMENT,REID ELEMENTARY SCHOOL,RIPLEY - WOW HALL,SEGARS ROAD FIRE DEPARTMENT,SENIOR CITIZEN CENTER .1,SENIOR CITIZEN CENTER .2,TANNER FIRE DEPARTMENT,TRINITY 7TH DAY ADVENTIST .1,TRINITY 7TH DAY ADVENTIST .2,W HOBBS ST CHURCH OF CHRIST .1,W HOBBS ST CHURCH OF CHRIST .2,WEST LIMESTONE FIRE DEPARTMENT
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LIMESTONE,"STATE BOE, DISTRICT 8",WI,WRITE-IN,52,1,3,2,2,1,5,0,3,1,2,0,2,5,1,0,1,1,4,3,2,1,2,1,1,0,1,0,0,0,2,2,0,3
42,LIMESTONE,"STATE SENATE, DISTRICT 2",DEM,"Butler, Tom",11170,236,613,340,370,0,334,454,433,340,711,495,145,354,145,62,579,380,344,225,674,483,257,466,248,0,254,244,343,76,690,383,329,163
42,LIMESTONE,"STATE SENATE, DISTRICT 2",REP,"Andrews, Steve",8230,194,377,327,326,0,315,318,298,383,681,349,86,306,73,21,623,386,293,183,495,300,192,191,84,0,188,150,152,30,237,337,279,56
42,LIMESTONE,"STATE SENATE, DISTRICT 2",WI,WRITE-IN,107,2,4,4,3,0,2,6,4,1,5,7,4,2,0,0,12,6,1,1,9,5,3,2,1,0,3,0,2,1,0,10,6,1
42,LIMESTONE,"STATE SENATE, DISTRICT 3",DEM,"Roberts, Tommy Ed",456,2,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE SENATE, DISTRICT 3",REP,"Smith, Terry",262,6,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE SENATE, DISTRICT 3",WI,WRITE-IN,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 4",DEM,"Hansberry, Cathy",2400,45,0,0,0,247,0,424,366,0,0,0,0,0,0,0,0,0,0,57,173,0,0,407,182,169,0,0,330,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 4",REP,"Hammon, Micky",1915,31,0,0,0,102,0,350,365,0,0,0,0,0,0,0,0,0,0,81,221,0,0,251,144,197,0,0,173,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 4",WI,WRITE-IN,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,LIMESTONE,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 5",DEM,"Carter, Tommy",7556,141,510,334,287,0,159,0,0,0,0,484,144,330,154,63,604,403,333,154,486,465,269,0,0,0,281,255,0,79,701,414,350,156
