Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64
,,,,,Total Number of Votes,Absentee,AL Industrial Devel. Training,AL State University,AL Technacenter,Alcazar Shrine Temple,Aldersgate UMC,AUM,Bell Rd. YMCA,Bellingrath Comm. Ctr.,Beulah Baptist Church,Bryant Missionary Bapt.,Capitol Heights Comm. Ctr.,Carver High Sch.,Catoma Elem. Sch.,Chesser Comm. Ctr. ,Chisholm Comm. Ctr.,Cleveland Ave. YMCA,Cloverdale Comm. Ctr.,Coliseum Blvd. Pub. Library,Eastdale Bapt. Ch.,Fire Station No. 14,First Southern Bapt. Ch.,Fitzpatrick Elem. Sch.,Flowers Elem. Sch.,Franklin Boys & Girls Club,Georgia Washington Jr. Hi. Sch.,Goodwyn Comm. Ctr.,Hamner Hall Fire Station,Wm. Harrison Elem. Sch.,Hayneville Rd. Comm. Ctr.,Highland Ave. Elem. Sch.,Highland Gardens Comm. Ctr.,Houston Hill Comm. Ctr.,Hunter Station Comm. Center,King Hill Comm. Ctr.,Lagoon Park Fire Station,McIntyre Comm. Ctr.,Montgomery Boys Club,Museum of Fine Arts,Newtown Comm. Ctr.,No. Montgomery Comm. Ctr.,Peter Crump Sch.,Peterson Elem.,Pike Rd. Public Library,Pintlala Vol. Fire Dept.,Ramer Public Library,Seth Johnson Elem. Sch.,Snowdoun Women's Club,So. Montgomery Co. Vol. Fire/Dublin,So. Montgomery Co. Vol. Fire/Pine Lev.,Southeast YMCA,Southlawn Elem. Sch.,Strata Church of Christ,Union Academy Bapt. Ch.,Union Chapel AME Zion Ch.,Vaughn Forest Bapt. Church,Vaughn Pk. Ch. Of Christ,Wares Ferry Rd. Elem. Sch.,Challenged
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MONTGOMERY,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
51,MONTGOMERY,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",30826,633,1759,1018,364,280,873,410,485,450,1873,1126,246,714,182,36,268,802,725,283,504,955,77,1202,388,504,638,445,257,398,500,177,213,450,203,326,444,712,207,625,381,1236,1128,170,233,241,116,1100,77,82,75,585,1428,70,54,277,295,847,664,15
51,MONTGOMERY,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",32326,1427,199,123,1230,462,731,1202,1791,18,77,375,623,17,316,106,280,85,2114,1504,757,131,142,593,1710,22,551,2313,50,36,42,246,461,18,96,257,1648,22,52,1108,55,150,147,32,620,546,201,279,144,164,156,1784,85,101,36,69,1819,2354,644,5
51,MONTGOMERY,COURT OF CIVIL APPEALS,WI,WRITE-IN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",29391,601,1674,987,351,261,838,383,464,444,1822,1036,218,704,152,42,252,782,689,258,488,903,68,1138,324,498,636,448,239,400,493,152,189,433,194,315,403,660,190,595,370,1195,1069,160,225,231,105,1038,79,71,71,544,1399,63,54,272,295,800,613,13
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",1803,42,56,51,39,26,58,39,59,9,38,55,44,15,24,6,33,18,83,53,37,24,6,46,89,8,21,78,12,6,8,30,36,13,9,19,56,17,11,55,11,39,41,5,30,15,6,39,4,9,6,63,23,6,3,9,39,86,39,1
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",32102,1395,198,109,1214,467,715,1184,1765,20,80,371,629,17,389,99,266,86,2111,1488,684,129,157,609,1696,22,545,2266,51,38,45,241,460,18,99,257,1625,33,44,1104,56,147,151,30,594,487,179,276,175,153,170,1796,86,100,33,73,1814,2377,674,5
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",33556,799,1712,1023,470,301,936,470,630,448,1826,1127,279,712,205,62,277,792,1211,372,544,910,86,1224,470,504,655,617,250,410,500,184,244,450,204,353,528,692,203,665,380,1230,1112,174,295,335,156,1025,129,111,104,884,1418,81,53,281,511,1226,691,15
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",29084,1235,205,120,1105,449,667,1138,1594,18,69,364,590,12,323,90,263,77,1660,1335,698,123,141,558,1619,19,499,2133,48,27,34,227,440,17,95,231,1530,24,47,1052,55,131,136,23,539,439,143,253,118,129,144,1539,61,89,39,64,1615,2064,623,4
51,MONTGOMERY,"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
