Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
,,,,,Total Number of Votes,ABSENTEE VOTERS,BARNWELL CHURCH,BARNWELL COMMUNITY CENTER,BAY MINETTE CITY HALL CIVIC .1,BAY MINETTE CITY HALL CIVIC .2,BAY MINETTE INTERMEDIATE SCH,BELFOREST COMMUNITY CENTER,BON SECOUR SWIFT SCHOOL,BROMLEY CROSSROADS VOL FIRE,CLEARSPRINGS FELLOWSHIP HALL,CROSSROADS ALTERNATIVE SCHOOL,DAPHNE CIVIC CENTER 1,DAPHNE CIVIC CENTER 2,DAPHNE HIGH SCHOOL .1,DAPHNE HIGH SCHOOL .2,DAPHNE INTERMEDIATE SCHOOL .1,DAPHNE INTERMEDIATE SCHOOL .2,DAPHNE ST_PAUL EPISCOPAL CHRCH,ELBERTA CIVIC CENTER,ELSANOR COMMUNITY CENTER,FAIRHOPE CIVIC CENTER .1,FAIRHOPE CIVIC CENTER .2,FAIRHOPE CIVIC CENTER .3,FAIRHOPE CIVIC CENTER .4,FERGUSON STORE - LITTLE RIVER,FOLEY CIVIC CENTER .1,FOLEY CIVIC CENTER .2,FORT MORGAN VFD STATION .2,GATESWOOD FIRE STATION,GATESWOOD HAMILTON CHURCH,GULF SHORES ACTIVITY CENTER .1,GULF SHORES ACTIVITY CENTER .2,JOSEPHINE FIRE HOUSE,LILLIAN COMMINUTY HALL .1,LILLIAN COMMUNITY HALL .2,LOTTIE FIRE DEPARTMENT,LOXLEY ELLISVILLE COMM CENTER,LOXLEY TOWN HALL,MAGNOLIA SPRINGS WESLEYAN,MARLOW VOLUNTEER FIRE,MIFLIN COMMUNITY CENTER,ORANGE BEACH COMM CENTER .1,ORANGE BEACH COMM CENTER .2,PERDIDO BEACH FIRE HOUSE,PERDIDO ELEMENTARY SCHOOL,PINE GROVE SCHOOL,RABUN FIRE HOUSE,ROBERTSDALE CITY HALL,ROSINTON ELEMENTARY SCHOOL,S_ RIVERPORT CHURCH OF GOD .1,S_ RIVERPORT CHURCH OF GOD .2,SEMINOLE FIRE HOUSE,SILVERHILL TOWN HALL,SPANISH FORT FIRE DEPARTMENT,SPANISH FORT SCHOOL .1,SPANISH FORT SCHOOL .2,STAPELTON COMMUNITY HALL,STOCKTON FIRE HOUSE,SUMMERDALE COMMUNITY HALL,TENSAW COMMUNITY CENTER,VAUGHN COMMUNITY CENTER,WHITE HOUSE VOLUNTEER FIRE,Bay Minette City Hall Civic 3,ROCKWELL ELEM. SCHOOL
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,BALDWIN,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",30901,795,415,351,148,892,16,541,382,155,47,169,547,590,1143,0,927,0,839,613,313,676,677,1067,687,52,656,829,174,15,76,817,1091,215,0,1334,57,82,451,898,664,689,1414,0,241,196,302,156,906,483,860,646,181,693,727,1320,0,344,203,578,18,98,315,521,609
02,BALDWIN,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,54,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,4,0,2,2,1,2,1,4,1,1,1,0,0,0,0,2,4,0,0,3,1,1,1,2,0,0,3,0,0,1,0,0,2,1,0,1,0,1,2,1,0,0,0,2,1,0,0,1,0
02,BALDWIN,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",10503,222,158,80,59,309,165,75,119,90,10,78,150,145,347,0,735,0,269,225,99,261,271,430,285,39,276,322,64,8,30,222,348,54,0,589,20,79,99,280,209,213,337,0,82,101,137,77,262,123,227,162,56,147,149,314,0,80,50,140,60,139,91,169,166
02,BALDWIN,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",32281,793,442,358,150,945,20,569,404,153,54,164,544,630,1217,0,983,0,902,631,326,686,701,1124,726,56,687,860,193,13,74,854,1130,208,0,1376,62,91,471,940,704,716,1511,0,246,203,329,163,959,503,903,656,176,721,754,1402,0,369,216,587,19,109,319,546,633
02,BALDWIN,COURT OF CIVIL APPEALS,WI,WRITE-IN,114,3,2,2,0,3,0,2,0,1,0,0,4,0,4,0,3,0,3,7,1,5,2,5,3,1,3,4,0,0,0,3,4,1,0,8,0,0,3,2,0,2,4,0,1,0,0,0,3,0,3,2,0,1,4,7,0,1,1,3,0,0,0,1,2
02,BALDWIN,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",8778,179,125,62,55,292,158,65,101,81,5,65,120,139,293,0,703,0,228,165,75,228,232,363,239,39,228,260,59,7,27,177,272,41,0,494,18,75,73,204,150,171,292,0,60,86,121,63,211,92,182,124,35,113,130,266,0,57,41,95,61,127,70,143,141
02,BALDWIN,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",2024,32,40,17,8,49,7,34,30,15,3,11,25,27,64,0,49,0,63,57,31,35,45,82,58,1,35,59,12,1,3,54,77,8,0,98,2,11,37,68,63,31,79,0,17,20,26,15,67,39,56,37,16,42,35,76,0,24,14,29,0,9,20,30,31
02,BALDWIN,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",32081,814,440,358,144,930,24,549,393,153,56,167,556,615,1211,0,963,0,885,639,320,689,692,1111,714,54,694,872,188,14,76,848,1135,214,0,1359,63,81,464,956,690,731,1478,0,244,198,319,162,951,490,892,652,182,713,744,1389,0,364,214,606,18,113,320,545,625
02,BALDWIN,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,71,1,1,2,0,1,0,0,2,0,0,0,3,0,2,0,4,0,1,3,0,2,2,3,3,1,2,0,0,0,0,3,4,0,0,5,0,0,1,1,0,0,3,0,0,0,0,0,3,1,2,2,0,0,3,2,0,0,0,1,0,1,0,4,2
02,BALDWIN,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",10189,219,145,75,65,349,156,92,120,88,11,70,151,161,331,0,723,0,275,184,83,253,266,398,269,41,240,290,71,8,19,224,310,48,0,531,24,85,101,248,191,193,380,0,70,97,156,79,256,128,202,161,44,153,143,311,0,79,58,129,61,140,78,193,163
