Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,,,Total Number of Votes,ABSENTEE VOTERS,BLACKBURN-ZIP CITY COMM_ CTR_,BROADWAY RECREATION CENTER,CENTER STAR-COL_ BANK COMM_ RM,CENTRAL COMMUNITY CENTER,CHAPEL-STEWARTVILLE CHURCH,CLOVERDALE COMMUNITY CENTER,CO_ BOARD OF ED_ ADM_ BLDG_,CROSSROADS-SR_ CIT_ BLDG_,DARBY DRIVE-CHURCH OF CHRIST,FLORENCE RICHARDS CENTER,FLORENCE SHERROD AVE CH CHRIST,FLORENCE-1ST PRESBYTERIAN CH_,FLORENCE-BLVD CHURCH OF CHRIST,FLORENCE-BRADSHAW HIGH SCHOOL,FLORENCE-COFFEE HIGH SCHOOL,FLORENCE-EAST AT CNTRL BAPTIST,FLORENCE-FOREST HILLS SCHOOL 1,FLORENCE-FOREST HILLS SCHOOL 2,FLORENCE-HANDY RECREATION CTR_,FLORENCE-HARLAN SCHOOL,FLORENCE-HIBBETT SCHOOL,FLORENCE-MARS HILL SCHOOL .1,FLORENCE-MARS HILL SCHOOL .2,FLORENCE-UNDERWOOD COMM CTR .1,FLORENCE-UNDERWOOD COMM CTR .2,GREENHILL SR. CITIZEN CENTER #1,GREENHILL SR. CITIZEN CENTER #2,HIGHLAND BAPTIST CHURCH .1,HIGHLAND BAPTIST CHURCH .2,KILLEN-BAPTIST CHURCH .1,KILLEN-BAPTIST CHURCH .2,LEXINGTON-FIRE STATION,MITCHELL ANDERSON-TOWN HALL,OAKLAND-FIRE STATION,ROGERSVILLE-SR_ CIT_ BLDG_  .1,ROGERSVILLE-SR_ CIT_ BLDG_  .2,ST_ FLORIAN-TOWN HALL,WATERLOO-SR_ CITIZENS' BLDG_
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAUDERDALE,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",12945,325,247,236,584,361,203,390,659,395,313,155,190,152,407,479,191,142,450,443,25,274,325,520,369,352,241,466,363,249,295,347,567,368,290,331,221,453,473,94
39,LAUDERDALE,COURT OF CIVIL APPEALS,WI,WRITE-IN,51,1,1,0,2,0,1,3,1,2,2,2,1,1,8,1,0,0,2,0,0,4,1,0,1,1,0,4,2,1,1,2,0,1,2,1,0,0,2,0
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",10899,232,249,352,538,395,178,293,341,352,234,131,430,148,252,377,150,249,251,248,451,311,215,261,168,257,191,461,399,217,248,191,309,354,232,302,179,400,292,61
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",1173,15,31,32,64,38,20,46,31,48,22,14,21,21,35,37,33,42,41,17,11,36,30,29,18,23,25,60,43,23,19,25,41,37,23,25,20,38,34,5
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",11907,311,219,221,523,329,184,352,615,365,289,149,173,135,382,430,169,128,408,426,21,263,309,497,356,326,227,398,301,223,282,328,553,320,251,320,196,401,442,85
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,31,0,2,0,4,0,1,0,4,0,1,0,0,0,0,1,0,0,1,0,1,2,3,1,1,0,0,1,2,1,1,0,0,0,0,1,0,2,1,0
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",12738,253,286,400,603,463,221,354,415,443,279,157,450,164,300,440,168,282,322,298,464,340,249,344,208,315,224,554,456,251,286,238,385,400,264,349,224,452,368,69
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",11018,300,200,202,507,295,158,320,571,311,264,131,172,138,363,406,173,128,379,397,19,260,297,452,329,296,216,352,283,212,263,308,496,286,235,283,171,372,398,75
39,LAUDERDALE,"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,37,0,2,2,1,1,1,0,1,0,2,0,1,1,2,0,0,0,0,0,0,1,2,1,1,2,0,2,1,0,0,0,1,0,0,3,0,7,2,0
39,LAUDERDALE,SECRETARY OF STATE,DEM,"Worley, Nancy L.",8630,254,301,398,639,499,232,388,440,455,300,168,465,178,318,438,177,296,327,332,458,366,277,386,215,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
