GENERAL ELECTION RESULTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",21884,185,972,142,85,329,63,75,559,144,127,170,42,54,79,125,221,246,48,78,134,58,559,214,179,258,369,103,513,124,105,118,24,65,72,293,219,2859,74,485,172,663,350,61,91,2154,54,139,473,2250,81,886,631,27,76,98,132,180,693,335,49,306,199,630,340,73,33,139
LIEUTENANT GOVERNOR,REP,"Armistead, Bill",630839,8097,29802,2505,3129,9094,784,2713,14567,3819,2367,8079,2013,4458,2473,2234,5633,6592,1480,1546,4856,1721,13676,5591,5090,8678,12035,4177,13647,2887,3386,3619,633,1654,2007,12546,4847,95557,2470,11617,3617,14433,9720,1111,747,41405,2884,4443,11728,53863,3800,27516,18301,1134,2672,3326,3240,3708,35167,11700,1077,9173,6309,20801,8861,2371,1179,4474
LIEUTENANT GOVERNOR,WI,WRITE-IN,1873,35,118,20,0,37,0,18,62,0,16,28,0,32,3,20,31,37,15,10,20,10,69,27,38,1,50,25,82,25,24,26,0,11,8,64,28,80,0,46,18,0,60,4,15,155,17,38,56,27,18,7,0,11,1,15,0,33,86,47,3,46,30,14,8,15,5,28
UNITED STATES SENATOR,DEM,"Parker, Susan",538878,3819,9525,3793,2553,4027,2372,2833,12784,4313,2754,4074,2399,3640,1791,1656,3664,8446,2345,2050,3149,1585,8638,3219,9185,6023,5198,3135,12999,3104,3952,1654,3277,3909,1885,6132,5772,101555,2477,11669,5793,10832,8508,3361,5542,32476,4074,4265,7018,40454,3058,31465,14903,3455,3300,3090,2916,5976,10215,5454,3667,9915,5288,19320,9379,2647,2928,2224
UNITED STATES SENATOR,LIB,"Allen, Jeff",20234,199,848,114,77,281,47,75,568,139,109,225,47,56,87,151,190,236,85,81,180,49,464,152,175,298,334,102,651,144,102,126,41,94,93,291,236,2541,85,347,142,574,277,62,94,1631,67,160,532,1809,90,781,523,28,96,102,128,164,618,347,47,302,206,740,311,84,38,161
UNITED STATES SENATOR,REP,"Sessions, Jeff",792561,10687,34327,4057,3667,11249,1141,3845,19680,5114,3164,9278,2585,5079,3329,2931,9018,8377,2442,2205,8011,2722,16734,8557,6520,11006,15605,5556,18105,3998,4422,6014,836,2276,3449,18898,6319,110491,3138,14183,4542,17577,11873,1740,1261,55229,3663,5760,15802,64135,4972,35760,20958,1417,3254,5093,4261,4382,38614,13914,1290,11859,9048,25483,11079,3412,1572,5596
UNITED STATES SENATOR,WI,WRITE-IN,1350,23,58,8,0,31,0,16,54,0,12,29,0,7,5,13,21,30,10,8,15,8,42,26,24,4,31,16,57,17,16,18,2,4,5,44,26,101,0,31,14,0,29,6,8,111,14,21,36,13,12,21,0,3,2,10,0,18,69,28,8,35,26,15,7,17,3,12
ATTORNEY GENERAL,DEM,"Whigham, Boyd",515123,3463,9018,5217,2473,3839,2708,2754,11658,4233,2712,3771,2451,3675,1525,1544,4121,8301,2430,1981,3473,1458,7697,4010,9066,6004,4671,3210,12553,2819,3797,2156,3138,3644,2354,7128,5742,95736,2317,10355,5185,10175,7345,3154,5469,31097,3960,4046,7060,38869,3299,29418,11827,3428,3168,3449,2827,5926,8859,4947,3606,9379,4870,17823,8912,2833,2869,2121
ATTORNEY GENERAL,LIB,"Myers, Wilson",29202,264,1298,149,132,432,58,98,784,173,196,272,67,106,111,178,201,272,86,106,188,62,741,244,258,338,428,117,715,186,170,155,60,77,94,388,310,4284,116,544,204,851,455,114,126,2781,97,262,614,2486,120,989,834,58,89,93,184,251,1087,547,63,343,294,927,481,123,78,193
ATTORNEY GENERAL,REP,"Pryor, Bill",780524,10803,33888,2595,3543,10882,750,3776,19825,4930,2928,9275,2290,4778,3298,2775,8285,8168,2244,2154,7325,2720,16751,7446,6409,10257,15843,5266,17875,3938,4227,5208,881,2409,2836,17385,5926,112426,3059,14604,4771,17445,12218,1699,1235,53111,3629,5588,14903,62538,4558,36355,22674,1353,3228,4667,3876,4179,39059,13987,1285,12086,9073,25995,11009,3057,1502,5466
ATTORNEY GENERAL,WI,WRITE-IN,1455,24,78,8,0,22,1,12,71,0,13,21,0,7,7,12,20,54,11,2,15,11,38,35,14,2,31,26,30,14,13,10,5,5,9,46,21,112,0,50,15,0,39,3,6,202,9,20,50,12,18,5,0,7,0,9,0,21,54,26,4,30,27,16,7,7,3,15
"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",609490,5039,11577,4088,2973,5245,2450,3159,15377,4603,3146,5039,2579,4125,2080,1937,5031,8823,2572,2261,4162,1795,10085,4670,9686,6812,6706,3551,16129,3628,4153,2932,3364,4142,2551,9480,6179,110224,2716,11772,5668,11416,8591,3363,5670,36606,4493,4747,8455,44711,3563,36550,13985,3553,3736,3637,3243,6041,12943,6813,3766,11357,6130,23673,11011,3063,3059,2806
"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",29247,289,1483,129,123,417,47,88,755,197,169,277,45,95,124,162,266,302,98,101,168,54,776,301,196,314,474,144,738,180,179,160,43,56,103,460,310,4069,103,539,213,908,495,67,96,2927,71,225,606,2294,116,943,912,29,93,113,199,227,1237,517,51,423,273,896,460,105,45,172
"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",676539,9021,30901,3347,3037,9423,903,3255,16043,4385,2473,7883,2129,4219,2742,2330,7098,7512,1981,1832,6477,2277,14265,6529,5727,9416,13481,4816,14131,3114,3762,4252,654,1867,2485,14485,5313,97208,2642,13079,4297,15922,10843,1387,984,47161,3016,4864,13459,55851,4240,28753,20296,1225,2659,4309,3364,3934,34881,12051,1101,9910,7654,20222,8864,2783,1290,4725
"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,840,16,54,11,0,18,0,4,34,0,4,16,0,6,2,7,19,14,2,6,7,5,19,13,17,5,23,11,26,6,6,10,2,3,5,44,20,68,0,33,12,0,20,2,7,82,7,10,19,6,7,3,0,3,0,8,0,10,27,13,2,12,10,20,7,7,0,10
COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",543141,3802,10503,3826,2418,4243,2259,2909,13378,4536,2928,4134,2459,3662,1748,1743,4246,8413,2404,2085,3621,1641,8526,3909,9232,6379,5478,3158,14089,2910,3932,2100,3174,3688,2121,7185,5953,100079,2425,11311,5316,11206,7669,3242,5597,34929,4084,4329,7738,40713,3278,30826,12234,3383,3257,3183,3060,5999,9834,5508,3644,9635,5486,18663,9803,2759,2878,2281
COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",727156,10153,32281,3435,3567,10238,945,3291,17544,4527,2646,8538,2179,4396,2925,2556,7726,7880,2022,1999,6432,2257,15623,7320,6049,9385,14337,5062,15947,3583,3908,5019,801,2199,2856,16652,5464,106728,2871,12945,4342,16197,11386,1442,1049,47796,3340,5173,13522,57491,4693,32326,21482,1354,3016,4632,3548,4095,37857,13388,1244,11617,7903,24407,10020,2985,1441,5124
COURT OF CIVIL APPEALS,WI,WRITE-IN,1792,36,114,12,0,38,0,10,75,0,14,25,0,11,2,10,81,37,8,5,26,11,44,19,26,6,47,24,61,20,17,24,7,9,10,69,17,134,0,51,22,0,29,6,8,188,11,16,37,17,14,2,0,4,5,24,0,24,73,42,3,56,32,30,14,13,5,17
"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",523348,3602,8778,3790,2463,3922,2240,2794,12633,4487,2815,4119,2396,3658,1711,1668,4056,8438,2359,2108,3196,1546,8062,3722,9039,6181,5030,3089,13522,2742,3851,1893,3125,3630,2091,6871,5789,97564,2424,10899,5249,11111,7371,3124,5513,32744,3967,4266,7212,38391,3160,29391,11752,3355,3303,3171,2945,6804,9246,5290,3625,9639,5471,17896,9387,2718,2880,2064
"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",55776,713,2024,342,232,780,109,262,2034,272,346,697,127,236,269,315,620,700,224,207,521,215,1687,580,568,586,943,310,1691,506,369,457,115,257,251,941,636,6158,170,1173,556,1245,1045,185,273,4738,232,494,1463,3289,298,1803,2047,124,211,389,308,283,1637,842,85,1134,638,2024,921,336,126,407
"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",684152,9449,32081,3063,3238,9573,855,3060,15894,4214,2319,7754,2056,4051,2552,2240,7072,6864,1792,1708,6330,2029,14116,6778,5638,8877,13881,4719,14543,3112,3539,4621,711,1898,2564,15662,4842,103168,2668,11907,3712,15162,10326,1343,855,44783,3108,4659,12239,57649,4024,32102,19351,1244,2683,4106,3265,3270,36614,12695,1153,10163,7185,22884,9321,2638,1304,4876
"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,1284,24,71,6,0,24,0,12,39,0,13,20,0,14,5,6,23,30,12,5,18,7,59,22,15,4,34,15,40,8,6,14,5,8,9,48,20,105,0,31,13,0,28,7,9,115,20,23,28,7,10,1,0,3,3,17,0,14,54,23,4,46,18,24,19,9,6,11
"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",591399,4590,10189,4053,2741,4946,2321,3260,14519,4737,3068,4584,2524,3917,1898,1872,4915,9360,2567,2297,4246,2110,9818,4352,9855,6727,6434,3477,15513,3476,4311,2419,3262,3974,2336,8091,6318,105936,2616,12738,6209,11690,9018,3455,5707,38449,4312,4896,9021,41481,3518,33556,15358,3541,3551,3637,3220,6140,11452,6113,3702,10889,6173,20463,10663,3086,3053,2679
"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",653849,9009,33117,3002,3093,9018,859,2795,15397,4101,2378,7785,1972,3863,2563,2265,6672,6435,1796,1672,5466,1684,13866,6564,5261,8534,13238,4527,13831,2805,3308,4408,659,1712,2489,14977,4803,98028,2522,11018,3242,15392,9505,1157,899,42453,2910,4414,11414,55434,3976,29084,17572,1113,2505,3923,3188,3873,35435,12456,1138,9771,6922,21648,8672,2535,1233,4493
"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,1856,34,86,13,0,40,0,10,86,0,12,24,0,22,7,14,29,38,10,11,18,9,53,32,26,5,41,22,60,11,18,14,5,16,13,54,25,222,0,37,18,0,36,9,12,184,16,20,40,12,12,3,0,4,5,14,0,22,77,42,5,57,36,53,24,7,2,29
SECRETARY OF STATE,DEM,"Worley, Nancy L.",632852,5121,11522,4541,3061,5032,2432,3551,15509,4922,3407,5179,2800,4396,2223,2102,5542,9801,2890,2485,5139,2215,10965,4662,10137,7393,7159,3919,16419,3915,4645,2740,3345,4175,2565,8833,6860,110811,2918,13438,6607,12391,9560,3457,5824,41564,4518,5197,10101,43540,3788,34739,17466,3649,3738,3859,3508,6387,12406,6585,3764,11587,6862,22113,11570,3332,3118,2853
SECRETARY OF STATE,LIB,"Bodenhausen, Mark",25386,260,1284,121,98,335,45,85,671,136,113,239,47,69,108,114,228,254,73,88,172,61,603,219,192,249,449,108,612,145,160,132,22,54,74,341,241,3892,67,476,186,731,395,66,84,2405,76,199,572,2121,109,959,694,34,85,125,126,173,1007,446,48,376,232,798,374,108,46,174
SECRETARY OF STATE,REP,"Thomas, Dave",630863,8679,30466,2772,2870,9358,802,2716,15164,4050,2193,7394,1828,3735,2344,2153,6354,6277,1589,1553,5101,1758,13032,6434,5157,8387,12676,4276,13367,2592,3166,4358,660,1693,2363,14797,4613,94158,2392,10851,3148,14818,9464,1251,822,40824,2907,4231,11160,54181,3795,28618,16621,1092,2503,3867,3112,3694,34627,12261,1103,9310,6574,20745,7992,2360,1193,4462
SECRETARY OF STATE,WI,WRITE-IN,1179,24,62,9,0,14,0,9,65,0,6,21,0,7,4,6,13,17,5,8,22,4,42,22,20,1,46,13,33,5,13,11,3,8,5,49,14,77,0,34,24,0,32,3,6,114,9,19,25,7,8,10,0,2,1,9,0,14,55,26,1,50,19,17,16,10,2,8
STATE TREASURER,DEM,"Black, Stephen Foster",609544,4087,11040,3827,2958,5440,2385,3121,15100,4380,3258,5156,2585,3975,2339,1881,4559,10061,2519,2335,4160,1749,10754,3796,9664,7941,5545,3584,15987,3749,4756,2193,3293,4035,2110,6892,6680,112496,2710,13860,6874,10585,9882,3372,5676,39964,4311,5098,9865,43961,3455,31251,16071,3536,3624,3305,3252,5783,12733,6401,3727,11445,6109,21429,11759,3305,2861,2950
STATE TREASURER,LIB,"Garland,Gabe",30201,297,1390,161,126,433,47,96,819,181,144,327,62,108,129,210,300,318,87,101,249,82,809,293,250,308,508,140,813,230,176,232,59,80,134,518,309,3974,122,539,244,827,511,77,100,2619,90,268,675,2478,127,938,1119,31,102,138,190,206,1151,590,55,439,290,918,442,143,46,226
STATE TREASURER,REP,"Ivey, Kay",660873,9844,31226,3578,3001,8990,961,3222,15828,4593,2370,7521,2025,4229,2361,2295,7373,6053,1993,1741,6132,2256,13253,7370,5623,7994,14480,4647,13797,2804,3090,4848,694,1920,2824,16883,4734,93594,2517,10587,2900,16708,9195,1372,979,42708,3153,4381,11462,54914,4273,33350,17405,1255,2640,4538,3279,4255,34405,12340,1140,9644,7441,21601,7904,2429,1528,4423
STATE TREASURER,WI,WRITE-IN,1098,25,57,8,0,16,0,7,50,0,9,17,0,14,4,5,25,22,9,7,12,12,36,15,23,1,18,17,34,8,7,12,3,3,10,50,7,69,0,25,10,0,25,2,7,109,9,19,25,8,5,3,0,3,0,13,0,16,59,33,2,33,21,23,11,9,1,15
STATE AUDITOR,DEM,"Gibson, Carolyn",579899,4461,9976,4030,2811,4688,2363,3175,13839,4660,3178,4760,2730,3994,2015,1847,5631,9212,2642,2244,4615,1964,9364,4231,9675,7242,5796,3467,15615,3745,4327,2474,3254,3921,2330,7665,6327,106055,2758,12334,5963,11007,8315,3366,5712,35141,4325,4971,8571,40703,3369,32439,13842,3495,3528,4340,3184,6048,10662,5693,3714,10720,5965,19799,10957,3107,3038,2510
STATE AUDITOR,LIB,"Reeves, Franklin",41397,423,1648,237,198,698,76,101,1276,200,232,497,83,160,167,265,392,471,136,141,375,106,1242,408,379,544,712,202,1125,284,326,325,51,94,164,725,452,5075,177,901,415,957,832,111,166,3673,131,410,1270,2745,182,1375,1317,70,124,179,238,256,1372,731,54,761,393,1170,768,191,73,365
STATE AUDITOR,REP,"Chapman, Beth",655189,9100,31367,3123,2943,9034,855,3265,15818,4222,2206,7410,1854,3924,2455,2176,6122,6413,1761,1692,5267,1989,13514,6648,5302,7966,13670,4570,13312,2541,3138,4368,700,1915,2481,15369,4684,96028,2350,11043,3335,15733,9994,1273,831,44411,3007,4163,11463,56363,4201,30181,18743,1181,2611,3466,3181,3889,35917,12474,1138,9606,7207,22077,7977,2443,1247,4482
STATE AUDITOR,WI,WRITE-IN,1178,29,62,5,0,27,0,6,53,0,8,27,0,11,1,10,11,25,7,7,20,6,42,21,22,6,35,12,32,8,13,11,2,5,2,46,12,74,0,25,15,0,20,1,8,120,5,13,31,9,1,2,0,6,3,6,0,15,70,32,2,46,15,31,12,14,2,16
COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",656382,5500,12523,4470,3409,5924,2358,3799,15993,5213,3632,5898,3018,4532,2479,2135,6167,9971,3278,2683,5872,2444,12529,5083,10445,9890,7691,4324,17346,4076,5292,3089,3420,4432,2809,9730,7420,107814,3118,13810,7051,12000,10794,3546,5819,42995,4814,5814,10906,44716,4223,33908,17741,3718,4157,3995,3674,6521,12711,6910,3856,11878,7141,21707,12297,3504,3166,3204
COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",31442,332,1527,167,134,403,48,107,960,162,134,286,53,115,144,171,245,318,88,100,192,64,652,289,238,302,509,152,693,221,126,145,48,75,118,476,253,4811,99,571,177,891,479,99,100,3267,91,223,647,2754,130,1036,841,50,94,147,164,226,1279,564,46,462,297,1048,420,128,46,208
COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",590350,8153,28786,2866,2471,8204,952,2403,13841,3723,1988,6569,1638,3423,2088,2016,5674,5951,1233,1320,4394,1505,11340,5917,4701,6708,12039,3763,12163,2298,2690,4039,546,1472,2081,13600,3998,93665,2155,10101,2688,14907,8022,1090,794,36904,2570,3626,10009,50780,3387,28815,15330,1010,2136,3727,2937,3445,33499,11485,999,8886,6136,20252,7156,2119,1126,4041
COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,859,20,43,6,0,24,0,5,49,0,5,17,0,7,4,4,8,15,6,4,9,10,27,21,17,3,18,7,26,5,7,8,2,2,2,31,11,71,0,16,6,0,21,1,8,79,4,7,25,7,6,1,0,2,2,5,0,13,40,22,9,20,14,22,14,10,2,9
"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",674888,5638,13468,4960,3375,5780,2612,4162,16866,5615,3650,6231,3214,4937,2624,2295,6757,10081,3432,2643,6760,2850,11973,5942,10684,8088,7825,4665,17084,4106,4916,4033,3480,4662,3224,11728,7170,110777,3186,13836,6557,13272,10667,3626,5969,41698,5142,5620,10305,48554,4607,34736,15714,3843,4192,4608,3904,6608,12993,7099,3936,12360,7578,23603,12230,3829,3267,3042
"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",36639,386,1727,192,145,548,57,107,979,189,181,339,46,134,157,213,264,395,82,112,307,85,991,318,257,416,630,163,898,252,230,180,49,86,122,496,352,5228,130,721,285,940,588,90,130,3451,93,311,786,2964,129,1371,1232,42,116,158,205,215,1467,638,50,582,325,1227,586,154,39,301
"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",581168,8116,27918,2436,2551,8289,712,2247,13584,3409,1913,6382,1466,3206,1993,1899,5381,5854,1166,1399,3969,1289,11595,5268,4549,7570,11997,3587,12465,2358,2870,3231,525,1278,1854,12221,4192,91643,2077,10209,3173,13741,8327,1114,687,38760,2381,3777,10613,48872,3111,29114,17677,916,2038,3231,2727,3440,33271,11352,915,8418,5947,18762,7000,1916,1076,4144
"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,949,21,51,1,0,22,0,11,35,0,6,14,0,6,6,4,7,17,4,4,11,6,33,12,19,3,39,7,30,6,7,10,2,3,4,38,14,80,0,30,6,0,21,2,5,93,3,11,37,11,3,4,0,4,2,8,0,12,55,20,3,21,16,24,5,8,0,12
"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",526721,3301,10098,3401,2228,4064,2081,2691,12767,4206,2746,3861,2260,3665,1548,1412,3930,8568,2325,2033,3248,1354,8179,3479,8981,6442,4715,3136,13510,2630,3798,1831,3135,3545,1940,6813,5759,99694,2134,11167,5147,10724,7325,3092,5402,36103,3935,4043,7592,40785,3197,28530,11945,3335,3121,2971,2744,5717,10290,5014,3560,9414,5782,17625,9144,2649,2777,2083
"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",37262,455,1764,136,145,546,56,108,1078,173,157,315,52,113,124,157,266,325,87,94,185,73,895,302,281,389,600,154,876,203,154,156,69,111,115,598,312,5532,80,638,210,1119,624,94,149,4444,120,208,830,2910,143,1437,1140,68,113,145,161,212,1763,629,52,518,308,1124,475,110,72,210
"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",734720,10485,31439,4181,3711,10210,1150,3728,17858,4841,2861,8904,2402,4627,3188,2971,8228,7563,2253,2065,7411,2748,15635,7820,6314,9309,15304,5159,16278,3985,4180,5555,834,2411,3170,17122,5713,102703,3181,13179,4700,16110,11695,1599,1191,43789,3584,5561,13473,57285,4590,35361,21416,1411,3152,4942,4020,4396,35843,13588,1279,11629,7930,25248,10240,3171,1506,5335
"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,1264,26,60,3,0,19,0,14,56,0,6,35,0,13,1,9,9,24,12,7,11,14,36,10,20,0,36,11,25,15,14,6,3,5,3,28,17,200,0,38,23,0,27,7,7,96,14,16,24,14,5,3,0,4,1,17,0,12,67,36,1,32,12,24,11,9,3,13
State Board of Education District 2,DEM,"Williams, Charlotte Kirkland",74934,0,0,4760,0,0,0,0,0,4988,0,0,0,0,2087,0,5965,0,0,0,5397,0,0,5460,0,0,0,0,0,0,0,3131,0,0,3504,10281,0,0,0,0,0,12154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,6249,0,0,0,1540,6030,0,0,0,0,0
State Board of Education District 2,REP,"Peters, Betty ",76646,0,0,2580,0,0,0,0,0,3858,0,0,0,0,2422,0,6059,0,0,0,4749,0,0,5997,0,0,0,0,0,0,0,4230,0,0,1739,14239,0,0,0,0,0,15308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3038,3883,0,0,0,1291,7253,0,0,0,0,0
State Board of Education District 2,WI,WRITE-IN,197,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,20,0,0,18,0,0,0,0,0,0,0,18,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,9,30,0,0,0,0,0
State Board of Education District 4,DEM,"Hall, Ethel H.",109079,0,0,0,3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352,0,0,0,100859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Board of Education District 4,LIB,"Wood, Amy ",17699,0,0,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,15790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
